Name,Pop,Ab,Reps,StandardQuota,LowerQuota,UpperQuota,CurrentReps
Alabama,4779736,AL,0,0,0,0,7
Alaska,710231,AK,0,0,0,0,1
Arizona,6392017,AZ,0,0,0,0,9
Arkansas,2915918,AR,0,0,0,0,4
California,37253956,CA,0,0,0,0,53
Colorado,5029196,CO,0,0,0,0,7
Connecticut,3574097,CT,0,0,0,0,5
Delaware,897934,DE,0,0,0,0,1
District of Columbia,601723,DC,0,0,0,0,0
Florida,18801310,FL,0,0,0,0,27
Georgia,9687653,GA,0,0,0,0,14
Hawaii,1360301,HI,0,0,0,0,2
Idaho,1567582,ID,0,0,0,0,2
Illinois,12830632,IL,0,0,0,0,18
Indiana,6483802,IN,0,0,0,0,9
Iowa,3046355,IA,0,0,0,0,4
Kansas,2853118,KS,0,0,0,0,4
Kentucky,4339367,KY,0,0,0,0,6
Louisiana,4533372,LA,0,0,0,0,6
Maine,1328361,ME,0,0,0,0,2
Maryland,5773552,MD,0,0,0,0,8
Massachusetts,6547629,MA,0,0,0,0,9
Michigan,9883640,MI,0,0,0,0,14
Minnesota,5303925,MN,0,0,0,0,8
Mississippi,2967297,MS,0,0,0,0,4
Missouri,5988927,MO,0,0,0,0,8
Montana,989415,MT,0,0,0,0,1
Nebraska,1826341,NE,0,0,0,0,3
Nevada,2700551,NV,0,0,0,0,4
New Hampshire,1316470,NH,0,0,0,0,2
New Jersey,8791894,NJ,0,0,0,0,12
New Mexico,2059179,NM,0,0,0,0,3
New York,19378102,NY,0,0,0,0,27
North Carolina,9535483,NC,0,0,0,0,13
North Dakota,672591,ND,0,0,0,0,1
Ohio,11536504,OH,0,0,0,0,16
Oklahoma,3751351,OK,0,0,0,0,5
Oregon,3831074,OR,0,0,0,0,5
Pennsylvania,12702379,PA,0,0,0,0,18
Rhode Island,1052567,RI,0,0,0,0,2
South Carolina,4625364,SC,0,0,0,0,7
South Dakota,814180,SD,0,0,0,0,1
Tennessee,6346105,TN,0,0,0,0,9
Texas,25145561,TX,0,0,0,0,36
Utah,2763885,UT,0,0,0,0,4
Vermont,625741,VT,0,0,0,0,1
Virginia,8001024,VA,0,0,0,0,11
Washington,6724540,WA,0,0,0,0,10
West Virginia,1852994,WV,0,0,0,0,3
Wisconsin,5686986,WI,0,0,0,0,8
Wyoming,563626,WY,0,0,0,0,1
